code,iata,icao,lat,lon,elevation,name,city,region,country,continent
JFK,JFK,KJFK,40.639722,-73.778889,4,John F. Kennedy International Airport,New York City,New York,United States,North America
BDA,BDA,TXKF,32.364167,-64.678611,5,L. F. Wade International Airport,St. Davids Island,St. George's Parish,Bermuda,North America
EWR,EWR,KEWR,40.6925,-74.168611,5,Newark Liberty International Airport,Newark,New Jersey,United States,North America
DFW,DFW,KDFW,32.896944,-97.038056,185,Dallas/Fort Worth International Airport,Dallas,Texas,United States,North America
VPS,VPS,KVPS,30.483333,-86.525278,27,Northwest Florida Regional Airport,Valpariso,Florida,United States,North America
PNS,PNS,KPNS,30.473333,-87.186667,37,Pensacola Regonal Airport,Pensacola,Florida,United States,North America
ORD,ORD,KORD,41.978611,-87.904722,204,OHare International Airport,Chicago,Illinois,United States,North America
SFO,SFO,KSFO,37.618889,-122.375,4,San Francisco International Airport,San Francisco,California,United States,North America
LAX,LAX,KLAX,33.9425,-118.408056,39,Los Angeles International Airport,Los Angeles,California,United States,North America
LGA,LGA,KLGA,40.77725,-73.872611,6,LaGuardia Airport,New York City,New York,United States,North America
LGW,LGW,EGKK,51.147222,-0.190278,62,London Gatwick Airport,London,West Sussex,England,Europe
LHR,LHR,EGLL,51.4775,-0.461389,25,London Heathrow Airport,London,Greater London,England,Europe
DXB,DXB,OMDB,25.252778,55.364444,19,Dubai International Airport,Dubai,Dubai,United Arab Emirates,Asia
FCO,FCO,LIRF,41.800278,12.238889,4,Fiumicino International Airport,Rome,Lazio,Italy,Europe
MXP,MXP,LIMC,45.63,8.723056,305,Malpensa International Airport,Milan,Lombardy,Italy,Europe
MAD,MAD,LEMD,40.472222,-3.560833,610,Barajas International Airport,Madrid,Madrid,Spain,Europe
CDG,CDG,LFPG,49.009722,2.547778,119,Paris Charles de Gaulle Airport,Paris,Ile-de-France,France,Europe
XNA,XNA,KXNA,36.281667,-94.307778,393,Northwest Arkansas Regional Airport,Fayetteville,Arkansas,United States,North America
YYZ,YYZ,CYYZ,43.676667,-79.630556,173,Toronto Pearson International Airport,Toronto,Ontario,Canada,North America
NRT,NRT,RJAA,35.765278,140.385556,41,Narita International Airport,Tokyo,Kanto,Japan,Asia
KIX,KIX,RJBB,34.784444,135.439167,5,Kansai International Airport,Osaka,Kansai,Japan,Asia
SEA,SEA,KSEA,47.448889,-122.309444,132,Seattle-Tacoma International Airport,Seattle,Washington,United States,North America
PDX,PDX,KPDX,45.588611,-122.5975,9,Portland International Airport,Portland,Oregon,United States,North America
YYC,YYC,CYYC,51.113889,-114.02,1099,Calgary International Airport,Calgary,Alberta,Canada,North America
SLC,SLC,KSLC,40.788333,-111.977778,1288,Salt Lake City International Airport,Salt Lake City,Utah,United States,North America
BOS,BOS,KBOS,42.363056,-71.006389,6,General Edward Lawrence Logan International Airport,Boston,Massachusetts,United States,North America
DEN,DEN,KDEN,39.861667,-104.673056,1655,Denver International Airport,Denver,Colorado,United States,North America
SNA,SNA,KSNA,33.675556,-117.868333,17,John Wayne Airport,Orange County,California,United States,North America
MAF,MAF,KMAF,31.9425,-102.201944,875,Midland International Airport,Midland,Texas,United States,North America
